Product Name,S4 SKU,Quantity Sold (35 Months),S4 MSRP,1800 CPU,ZASP CPU,S4 Actual Sales Total,S4 Actual MSRP,1800 Cost Total,ZASP Cost Total,S4 Profit w 1800 CPU,S4 Profit w ZASP CPU,S4 Margin w 1800 CPU,S4 Margin w ZASP CPU,ZASP Extra Profit
"4"" STAINLESS STEEL REMOVABLE",RPSS4040+ESV40,297.0,595.0,474.51,187.3,192051.01,646.6363973063974,140929.47,55628.100000000006,51121.54000000001,136422.91,0.2661873009675919,0.710347266593391,85301.37
"6"" STAINLESS STEEL REMOVABLE",RPSS6040+ESV60,106.0,897.0,670.51,257.14,95680.0,902.6415094339623,71074.06,27256.84,24605.940000000002,68423.16,0.2571691053511706,0.715125,43817.22
"4"" CARBON STEEL REMOVABLE",RPCS4040+ESV40,499.0,475.0,290.51,108.0,219679.8,440.24008016032064,144964.49,53892.0,74715.31,165787.8,0.3401100601876003,0.7546793105237714,91072.48999999999
"6"" CARBON STEEL REMOVABLE",RPCS6040+ESV60,383.0,560.0,420.52,125.0,231165.6,603.5655352480418,161059.16,47875.0,70106.44,183290.6,0.30327367047692216,0.7928973861162734,113184.16
"4"" CARBON STEEL RETRACTABLE",MRCS4040-Y,209.0,935.0,550.25,222.22,149525.0,715.4306220095693,115002.25,46443.98,34522.75,103081.01999999999,0.23088279551914395,0.6893898679150643,68558.26999999999
"4"" STAINLESS STEEL RETRACTABLE",MRSS4040,125.0,1400.0,1025.26,274.6,120317.47,962.53976,128157.5,34325.0,-7840.029999999999,85992.47,-0.06516119396460048,0.7147130836444616,93832.5
"4"" BASEPLATE CARBON STEEL - 36""",BCSV404036,26.0,184.95,84.26,65.0,3201.35,123.12884615384615,2190.76,1690.0,1010.5899999999997,1511.35,0.31567619910350314,0.4720977087791088,500.7600000000002
"6"" BASEPLATE CARBON STEEL - 36""",BCSV604036,17.0,260.25,164.26,100.0,7566.0,445.05882352941177,2792.42,1700.0,4773.58,5866.0,0.6309251916468411,0.7753106000528681,1092.42
"4"" BASEPLATE STAINLESS STEEL - 36""",BSSV404036,121.0,350.25,283.26,169.84,37781.49,312.24371900826446,34274.46,20550.64,3507.029999999999,17230.85,0.09282402573323602,0.456065920110615,13723.82
"6"" BASEPLATE STAINLESS STEEL - 36""",BSSV604036,92.0,599.25,552.26,204.76,48270.88,524.6834782608695,50807.92,18837.92,-2537.040000000001,29432.96,-0.05255839545498241,0.6097456686101435,31970.0
TOTAL,,1875.0,625.67,451.5600000000001,171.38600000000002,1105238.5999999999,567.6168771110682,851252.4900000001,308199.48000000004,253986.11,797039.1199999999,0.22980206264963965,0.7211466555728329,543053.01
Monthly,,53.57142857142857,625.67,451.5600000000001,171.38600000000002,31578.24571428571,567.6168771110682,24321.499714285717,8805.69942857143,7256.745999999999,22772.54628571428,0.22980206264963965,0.7211466555728329,15515.800285714286
