Product Name,S4 SKU,ZASP CPU,1800 CPU,S4 MSRP,S4 NEW MARGIN,S4 NEW MSRP,LEADING COMPETITOR,1800 MSRP,GLOBAL,POLECTOR,ULINE
"4"" STAINLESS STEEL REMOVABLE",RPSS4040+ESV40,$187.30 ,$474.51 ,$595.00 ,68.50%,$595 ,$595.00 ,$595.00 ,"$1,099.00 ",$595.95 ,
"6"" STAINLESS STEEL REMOVABLE",RPSS6040+ESV60,$257.14 ,$670.51 ,$897.00 ,71.30%,$897 ,$900.25 ,$900.25 ,"$1,499.00 ",$904.95 ,
"4"" CARBON STEEL REMOVABLE",RPCS4040+ESV40,$108.00 ,$290.51 ,$475.00 ,62.10%,$285 ,$285.95 ,$475.00 ,$285.95 ,$484.95 ,
"6"" CARBON STEEL REMOVABLE",RPCS6040+ESV60,$125.00 ,$420.52 ,$560.00 ,64.80%,$355 ,$355.95 ,$559.00 ,$355.95 ,$564.95 ,
"4"" CARBON STEEL RETRACTABLE",MRCS4040-Y,$222.22 ,$550.25 ,$935.00 ,70.40%,$750 ,$750.00 ,$750.00 ,,,
"4"" STAINLESS STEEL RETRACTABLE",MRSS4040,$274.60 ,"$1,025.26 ","$1,400.00 ",80.40%,"$1,400 ","$1,400.00 ","$1,400.00 ",,,
"4"" BASEPLATE CARBON STEEL - 36""",BCSV404036,$65.00 ,$84.26 ,$184.95 ,49.60%,$129 ,$95.00 ,$199.25 ,$109.95 ,,$95.00 
"6"" BASEPLATE CARBON STEEL - 36""",BCSV604036,$100.00 ,$164.26 ,$260.25 ,49.70%,$199 ,$150.00 ,$260.25 ,,,$150.00 
"4"" BASEPLATE STAINLESS STEEL - 36""",BSSV404036,$169.84 ,$283.26 ,$350.25 ,43.20%,$299 ,$165.95 ,$350.25 ,$165.95 ,,$280.00 
"6"" BASEPLATE STAINLESS STEEL - 36""",BSSV604036,$204.76 ,$552.26 ,$599.25 ,62.70%,$549 ,$569.00 ,$599.25 ,$569.00 ,,
