Product Name,S4 SKU,Finish,Bollard Type,Diameter (Inches),Height (Inches),Quantity,ZASP CPU,ZASP Total Cost,S4 MSRP,S4 Revenue,S4 Profit,S4 Margin,1800 MSRP,1800 CPU,1800 PPU,1800 Margin,1800 Revenue,1800 Total Cost,1800 Total Profit,Cost Savings
"4"" STAINLESS STEEL REMOVABLE",RPSS4040+ESV40,Stainless Steel,Removable,4.0,36.0,50,187.3,9365.0,595.0,29750.0,20385.0,0.6852100840336135,595.0,474.51,120.49000000000001,0.2025042016806723,29750.0,23725.5,6024.5,14360.499999999998
"6"" STAINLESS STEEL REMOVABLE",RPSS6040+ESV60,Stainless Steel,Removable,6.0,36.0,50,257.14,12857.0,897.0,44850.0,31993.0,0.7133333333333334,897.0,670.51,226.49,0.25249721293199556,44850.0,33525.5,11324.5,20668.5
"4"" CARBON STEEL REMOVABLE",RPCS4040+ESV40,Carbon Steel,Removable,4.0,36.0,50,108.0,5400.0,289.0,14450.0,9050.0,0.6262975778546713,475.0,290.51,184.49,0.3884,23750.0,14525.5,9224.5,9125.5
"6"" CARBON STEEL REMOVABLE",RPCS6040+ESV60,Carbon Steel,Removable,6.0,36.0,50,125.0,6250.0,560.0,28000.0,21750.0,0.7767857142857143,560.0,420.52,139.48000000000002,0.2490714285714286,28000.0,21026.0,6974.000000000001,14776.0
"4"" CARBON STEEL RETRACTABLE",MRCS4040-Y,Carbon Steel,Retractable,4.0,36.0,50,222.22,11111.0,935.0,46750.0,35639.0,0.762331550802139,935.0,550.25,384.75,0.41149732620320856,46750.0,27512.5,19237.5,16401.5
"4"" STAINLESS STEEL RETRACTABLE",MRSS4040,Stainless Steel,Retractable,4.0,36.0,50,274.6,13730.000000000002,1400.0,70000.0,56270.0,0.8038571428571428,1400.0,1025.26,374.74,0.26767142857142856,70000.0,51263.0,18737.0,37533.0
"4"" BASEPLATE CARBON STEEL - 36""",BCSV404036,Carbon Steel,Baseplate,4.0,36.0,50,65.0,3250.0,199.25,9962.5,6712.5,0.6737766624843162,184.95,84.26,100.68999999999998,0.5444174101108407,9247.5,4213.0,5034.499999999999,963.0000000000002
"6"" BASEPLATE CARBON STEEL - 36""",BCSV604036,Carbon Steel,Baseplate,6.0,36.0,50,100.0,5000.0,235.25,11762.5,6762.5,0.5749202975557917,260.25,164.26,95.99000000000001,0.368837656099904,13012.5,8213.0,4799.5,3212.9999999999995
"4"" BASEPLATE STAINLESS STEEL - 36""",BSSV404036,Stainless Steel,Baseplate,4.0,36.0,50,169.84,8492.0,350.25,17512.5,9020.5,0.515089221984297,350.25,283.26,66.99000000000001,0.19126338329764456,17512.5,14163.0,3349.5000000000005,5670.999999999999
"6"" BASEPLATE STAINLESS STEEL - 36""",BSSV604036,Stainless Steel,Baseplate,6.0,36.0,50,204.76,10238.0,599.25,29962.5,19724.5,0.6583062161034626,599.25,552.26,46.99000000000001,0.07841468502294537,29962.5,27613.0,2349.5000000000005,17375.0
TOTAL COST,,,,,,500,,85693.0,,303000.0,217307.0,0.7171848184818482,,,,0.2873102310231023,312835.0,225780.0,87055.0,140087.0
